code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,buy_trade_date,end_trade_date,portfolio_score,final_selected,final_rank,portfolio_profile
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,81.9,88.2,67.0,90.4,82.8,86.5,"Q1价值线=36.41, 现价/价值=0.42, akshare东方财富扣非净利润同比=19.0%, 市值=273.4亿",-0.0096649484536083,0.210236220472441,273.3831762517656,36.41330844114408,0.4220984210990603,2.026,2.026,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,90.4,价值线左侧确认,0.1904588537279899,15.37,18.1,14.40398013,18.1,0.1776187378009111,0.2565971236173874,2025-05-06,2026-05-18,116.798,True,11,focused
sh.603993,洛阳钼业,B09有色金属矿采选业,资源金属,VALUE,基本价值线,7.1,100.0,100.0,77.8,30.0,87.6,91.0,69.7,73.1,"Q1价值线=16.08, 现价/价值=0.44, akshare东方财富扣非净利润同比=110.5%, 市值=1526.9亿",-0.0571049136786189,-0.0166204986149585,1526.9453146409674,16.0812037679326,0.4415092366504337,0.61,0.61,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.0,价值线左侧确认,1.10480074151682,7.1,18.31,6.8822075,18.31,1.5788732394366196,1.6604835730396097,2025-05-06,2026-05-18,116.221,True,12,focused
sz.300115,长盈精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,22.07,100.0,100.0,72.8,54.6,89.6,89.4,70.3,78.3,"Q1价值线=122.76, 现价/价值=0.18, akshare东方财富扣非净利润同比=2750.7%, 市值=285.9亿",-0.1175529788084767,0.0925742574257426,285.9112831277951,122.75809036260216,0.1797844845485113,0.41,0.41,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.4,价值线左侧确认,27.50702569865589,22.07,38.75,21.9314004,38.75,0.7557770729497055,0.7668730356133573,2025-05-06,2026-05-18,116.081,True,13,focused
sz.002432,九安医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,37.9,100.0,100.0,92.5,28.0,56.9,93.1,65.0,75.6,"Q1价值线=106.37, 现价/价值=0.36, akshare东方财富扣非净利润同比=67.4%, 市值=165.8亿",-0.1035950804162725,-0.0397770458576134,165.83045747549468,106.3692774777492,0.3563058892444586,3.8408,3.8408,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,93.1,价值线左侧确认,0.67387130952349,37.9,73.44,37.7187622,73.44,0.937730870712401,0.947041623757208,2025-05-06,2026-05-18,115.74,True,14,focused
sz.000651,格力电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,45.47,100.0,100.0,76.2,60.2,90.9,90.8,74.0,81.0,"Q1价值线=84.04, 现价/价值=0.54, akshare东方财富扣非净利润同比=9.2%, 市值=2511.3亿",0.0066415762674341,0.0374172940908053,2511.258907549643,84.04316678563451,0.5410314929704931,5.45,5.45,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,90.8,价值线左侧确认,0.0919374885248899,45.47,39.71,41.58281517,39.71,-0.126676929843853,-0.0450382005726045,2025-05-06,2026-05-18,115.729,True,15,focused
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,6.49,100.0,100.0,80.0,0.0,81.8,91.2,56.9,53.0,"Q1价值线=16.67, 现价/价值=0.39, akshare东方财富扣非净利润同比=81.9%, 市值=1113.3亿",-0.1300268096514745,-0.1721938775510203,1113.3095697707738,16.672242828753944,0.3892697621226437,0.698,0.698,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.2,价值线左侧确认,0.81913735082535,6.49,10.52,6.29032866,10.52,0.6209553158705701,0.6724086400916292,2025-05-06,2026-05-18,115.585,True,16,focused
sz.300677,英科医疗,C29橡胶和塑料制品业,医药医疗,VALUE,基本价值线,22.55,100.0,100.0,92.5,25.0,52.1,92.6,63.2,74.3,"Q1价值线=267.97, 现价/价值=0.08, akshare东方财富扣非净利润同比=1239.1%, 市值=146.2亿",-0.0874140024281667,-0.1635756676557863,146.23237328678613,267.9715081684852,0.0841507373456354,1.8,1.8,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,92.6,价值线左侧确认,12.3910242293704,22.55,51.31,22.4225925,51.31,1.2753880266075388,1.2883170177578709,2025-05-06,2026-05-18,114.757,True,17,focused
sz.000960,锡业股份,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,14.11,100.0,100.0,85.8,28.2,67.7,91.8,39.6,49.6,"Q1价值线=27.68, 现价/价值=0.51, akshare东方财富扣非净利润同比=40.5%, 市值=237.2亿",-0.118125,-0.0362021857923497,237.2331863720147,27.684805636053675,0.5096658501233858,1.1555,1.1555,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.8,价值线左侧确认,0.40483418725458,14.11,37.7,13.79039439,37.7,1.6718639262934092,1.7337869341385823,2025-05-06,2026-05-18,114.559,True,18,focused
sh.600066,宇通客车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,26.72,92.9,92.9,100.0,75.4,68.2,92.9,86.3,88.5,"Q1价值线=44.56, 现价/价值=0.60, akshare东方财富扣非净利润同比=145.2%, 市值=590.3亿",-0.0107367641614217,-0.0443490701001431,590.3270193121018,44.56181259199703,0.5996165426358512,1.57,1.57,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,92.9,价值线左侧确认,1.45213463430911,26.72,31.71,23.8343736,31.71,0.186751497005988,0.3304314404134372,2025-05-06,2026-05-18,114.491,True,19,focused
sz.002532,天山铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,7.58,100.0,100.0,78.2,45.0,67.7,89.2,74.2,79.4,"Q1价值线=27.05, 现价/价值=0.28, akshare东方财富扣非净利润同比=128.8%, 市值=351.2亿",-0.1425339366515836,-0.155902004454343,351.175644020228,27.04662949944897,0.2802567321800459,0.93,0.93,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.2,价值线左侧确认,1.28804053816204,7.58,14.82,7.13881368,14.82,0.9551451187335092,1.0759751779934392,2025-05-06,2026-05-18,112.528,True,20,focused
sz.002444,巨星科技,C33金属制品业,资源金属,VALUE,基本价值线,24.24,91.8,91.8,91.7,25.0,74.4,90.0,65.8,74.5,"Q1价值线=39.92, 现价/价值=0.61, akshare东方财富扣非净利润同比=35.7%, 市值=289.5亿",-0.2023692003948668,-0.2370160528800755,289.53632170520683,39.91555110077928,0.6072821076376609,1.929,1.929,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,90.0,价值线左侧确认,0.35736044082495,24.24,33.66,24.03732936,33.66,0.3886138613861385,0.4003219532371542,2025-05-06,2026-05-18,111.894,True,21,focused
sz.300308,中际旭创,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,86.65,81.4,81.4,100.0,25.0,100.0,89.7,73.0,79.0,"Q1价值线=127.33, 现价/价值=0.68, akshare东方财富扣非净利润同比=138.7%, 市值=950.6亿",-0.1314153969526864,-0.1180661577608142,950.5910751359926,127.32713269971404,0.6805305213646314,4.62,4.62,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.7,价值线左侧确认,1.38660345770301,86.65,1045.0,86.1131166,1045.0,11.0600115406809,11.135201247611098,2025-05-06,2026-05-18,111.863,True,22,focused
sz.000528,柳工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,10.21,100.0,100.0,77.1,2.9,66.5,88.6,50.7,65.4,"Q1价值线=20.37, 现价/价值=0.50, akshare东方财富扣非净利润同比=100.1%, 市值=198.5亿",-0.1198275862068964,-0.0413145539906102,198.54817386002057,20.36705749340596,0.5012997092636279,0.5851,0.5851,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.6,价值线左侧确认,1.0009928838043,10.21,9.28,9.93041957,9.28,-0.0910871694417239,-0.0654976927626432,2025-05-06,2026-05-18,111.31,True,23,focused
sh.600988,赤峰黄金,B09有色金属矿采选业,资源金属,PB,PB低估,27.24,6.8,6.8,100.0,100.0,97.8,48.5,95.0,71.8,"PB=4.75, 低估均值=3.54, 比值=1.34, 分位=50%",0.2438356164383561,0.4048478597215057,,,,,,,,4.751463,3.5352655454545454,1.344018699276827,0.5012244897959184,高质量趋势,估值有约束的高质量,95.0,高质量趋势,,27.24,36.66,27.06841524,36.66,0.3458149779735682,0.3543460034492953,2025-05-06,2026-05-18,107.458,True,24,focused
sz.002311,海大集团,C13农副食品加工业,消费,VALUE,基本价值线,54.38,75.0,55.5,92.5,86.9,74.3,81.4,86.9,84.1,"价值线=63.13, 现价/价值=0.86, 扣非EPS=2.73, akshare东方财富扣非净利润同比=78.6%, 市值=904.2亿",0.0858626198083067,0.1097959183673469,904.1550951366772,63.12569795328078,0.8614558216884437,2.73,2.73,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,84.1,低估且高质量,,54.38,46.37,53.19658244,46.37,-0.1472968002942258,-0.1283274625338883,2025-05-06,2026-05-18,100.776,True,25,focused
sh.600276,恒瑞医药,C27医药制造业,医药医疗,PE,PE低估,51.0,75.0,58.1,87.1,86.1,96.4,81.3,87.5,84.4,"PE=47.55, 低估均值=47.74, 比值=1.00, 分位=17%",0.0029498525073745,0.1588275391956373,,,,,,,,47.551243,47.73868981818182,0.9960734821400477,0.1689795918367347,低估且高质量,低估且高质量,84.4,低估且高质量,,51.0,52.43,50.816553,52.43,0.0280392156862745,0.0317504219540432,2025-05-06,2026-05-18,99.906,True,26,focused
sh.688336,三生国健,C27医药制造业,医药医疗,PE,PE低估,28.74,100.0,100.0,82.2,91.7,41.9,88.9,80.3,84.6,"PE=24.74, 低估均值=92.19, 比值=0.27, 分位=4%",-0.0089655172413793,0.2784697508896796,,,,,,,,24.743201,92.19421633333332,0.2683812714513411,0.0365296803652968,低估且高质量,低估且高质量,84.6,低估且高质量,,28.74,64.74,28.68444558,64.74,1.252609603340292,1.2569723308558367,2025-05-06,2026-05-18,98.542,True,27,focused
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.7,100.0,100.0,70.5,95.5,62.0,88.4,79.4,83.9,"PE=10.97, 低估均值=19.14, 比值=0.57, 分位=4%",0.1809815950920246,0.2106918238993711,,,,,,,,10.973479,19.1440635,0.5732053176693652,0.0425400739827373,低估且高质量,低估且高质量,83.9,低估且高质量,,7.7,5.58,7.3008166,5.58,-0.2753246753246753,-0.2357019350410747,2025-05-06,2026-05-18,97.928,True,28,focused
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,10.19,79.0,79.0,91.6,91.2,61.1,81.6,86.2,83.9,"PB=3.51, 低估均值=4.31, 比值=0.81, 分位=9%",0.0692549842602308,0.2087781731909845,,,,,,,,3.514596,4.3130923333333335,0.8148668584805782,0.0871913580246913,低估且高质量,低估且高质量,83.9,低估且高质量,,10.19,28.96,10.19,28.96,1.842001962708538,1.842001962708538,2025-05-06,2026-05-18,97.838,True,29,focused
sh.601899,紫金矿业,B09有色金属矿采选业,资源金属,PB,PB低估,17.76,6.0,6.0,100.0,82.6,100.0,46.5,89.2,67.9,"PB=3.27, 低估均值=2.55, 比值=1.28, 分位=63%",0.0148571428571429,0.0783242258652097,,,,,,,,3.270505,2.552932818181818,1.281077581324381,0.6342857142857142,高质量趋势,估值有约束的高质量,89.2,高质量趋势,,17.76,31.3,17.370612,31.3,0.7623873873873872,0.8018939113947166,2025-05-06,2026-05-18,97.74,True,30,focused
sh.688608,恒玄科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,437.59,14.1,14.1,100.0,90.8,76.1,53.8,88.9,71.3,"价值线=380.15, 现价/价值=1.15, 扣非EPS=2.36, akshare东方财富扣非净利润同比=1279.1%, 市值=730.6亿",0.1348288381742737,0.1500394218134033,730.5525425481248,380.1549442006249,1.151083279793052,2.3636,2.3636,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,88.9,高质量趋势,,437.59,193.98,311.70585916,193.98,-0.5567083342855184,-0.3776825353147141,2025-05-06,2026-05-18,97.258,True,31,focused
sh.600809,山西汾酒,C15酒、饮料和精制茶制造业,消费,PE,PE低估,204.34,88.4,88.4,88.2,61.7,82.7,85.1,78.1,81.6,"PE=19.74, 低估均值=26.92, 比值=0.73, 分位=5%",-0.0397556390977443,0.2037702503681886,,,,,,,,19.740787,26.9152386,0.733442764278523,0.0457142857142857,低估且高质量,低估且高质量,81.6,低估且高质量,,204.34,129.84,200.15327774,129.84,-0.3645884310462953,-0.3512971585273624,2025-05-06,2026-05-18,97.098,True,32,focused
sh.603766,隆鑫通用,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,13.05,75.0,40.7,75.8,98.2,67.5,76.8,82.3,79.6,"价值线=13.52, 现价/价值=0.97, 扣非EPS=0.53, akshare东方财富扣非净利润同比=70.8%, 市值=269.8亿",0.1328125,0.3155241935483872,269.7828425268963,13.5207130426193,0.9651857826480348,0.53,0.53,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,79.6,低估且高质量,,13.05,14.3,12.52185345,14.3,0.0957854406130267,0.14200346275415,2025-05-06,2026-05-18,96.958,True,33,focused
sh.605499,东鹏饮料,C15酒、饮料和精制茶制造业,消费,PE,PE低估,280.25,35.9,35.9,93.6,92.3,74.5,59.9,87.4,73.6,"PE=40.01, 低估均值=33.96, 比值=1.18, 分位=27%",0.0972983555207518,0.2105831533477322,,,,,,,,40.005524,33.9578274,1.1780943323835849,0.2693920335429769,高质量趋势,估值有约束的高质量,87.4,高质量趋势,,280.25,142.2,210.91250675,142.2,-0.4925958965209634,-0.3257867814896663,2025-05-06,2026-05-18,96.364,True,34,focused
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,100.0,52.3,78.9,92.8,80.1,86.4,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.0673575129533678,0.0360264335962481,,,,,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122,低估价值,价值线内/历史低位,92.8,低估价值,,48.6,60.12,46.6745652,60.12,0.2370370370370369,0.2880677033066392,2025-05-06,2026-05-18,96.0,True,35,focused
sz.002773,康弘药业,C27医药制造业,医药医疗,PE,PE低估,27.92,82.0,82.0,72.1,94.6,62.3,78.8,79.0,78.9,"PE=21.09, 低估均值=30.87, 比值=0.68, 分位=22%",0.0406261647409618,0.4458829621957536,,,,,,,,21.090723,30.87057325,0.683198294673715,0.2197392923649906,低估且高质量,低估且高质量,78.9,低估且高质量,,27.92,21.49,27.37075776,21.49,-0.2303008595988539,-0.2148554969345504,2025-05-06,2026-05-18,95.773,True,36,focused
sz.000975,山金国际,B09有色金属矿采选业,资源金属,PB,PB低估,20.61,0.0,0.0,95.4,91.6,78.7,40.9,86.8,63.9,"PB=4.18, 低估均值=2.61, 比值=1.60, 分位=82%",0.1170731707317074,0.1810888252148996,,,,,,,,4.182739,2.610234363636364,1.6024381022142975,0.816734693877551,高质量趋势,估值有约束的高质量,86.8,高质量趋势,,20.61,24.4,19.88910342,24.4,0.1838913148956817,0.2268024095778973,2025-05-06,2026-05-18,95.726,True,37,focused
sh.601319,中国人保,J68保险业,金融,PE,PE低估,7.26,91.9,91.9,94.7,62.1,66.7,87.1,78.9,83.0,"PE=6.87, 低估均值=9.91, 比值=0.69, 分位=0%",0.0386266094420599,0.0506512301013024,,,,,,,,6.866991,9.905331749999998,0.6932620908936241,0.0044699872286079,低估且高质量,低估且高质量,83.0,低估且高质量,,7.26,6.84,7.09698396,6.84,-0.0578512396694215,-0.0362103058775971,2025-05-06,2026-05-18,95.46,True,38,focused
sz.002946,新乳业,C14食品制造业,消费,PE,PE低估,16.71,75.0,60.0,87.8,94.5,55.8,78.2,84.7,81.5,"PE=24.75, 低估均值=26.04, 比值=0.95, 分位=20%",0.1367346938775511,0.2232796486090775,,,,,,,,24.7459,26.043654000000004,0.9501700491029406,0.2022397891963109,低估且高质量,低估且高质量,81.5,低估且高质量,,16.71,17.59,16.41652227,17.59,0.0526630760023936,0.0714815056867703,2025-05-06,2026-05-18,95.214,True,39,focused
sz.002251,步步高,F52零售业,F52零售业,PE,PE低估,5.74,100.0,100.0,61.3,85.0,79.2,86.8,74.2,80.5,"PE=11.78, 低估均值=40.87, 比值=0.29, 分位=1%",0.4568527918781726,0.413793103448276,,,,,,,,11.776461,40.873071375,0.288122732249651,0.014069264069264,低估价值,价值线内/历史低位,86.8,低估价值,,5.74,3.83,5.74,3.83,-0.3327526132404181,-0.3327526132404181,2025-05-06,2026-05-18,94.556,True,40,focused
sz.002901,大博医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,38.9,100.0,100.0,72.2,86.5,39.3,84.3,73.7,79.0,"价值线=194.01, 现价/价值=0.20, 扣非EPS=0.69, akshare东方财富扣非净利润同比=2603.9%, 市值=160.9亿",0.0859854829704076,0.1026077097505668,160.90140115114494,194.0082053568085,0.2005069833436034,0.69,0.69,1.0,年报扣非EPS,,,,,低估价值,深度低估,84.3,低估价值,,38.9,40.06,38.4050364,40.06,0.0298200514138817,0.0430923585845111,2025-05-06,2026-05-18,94.131,True,41,focused
sz.300910,瑞丰新材,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,61.6,9.2,9.2,88.4,97.3,64.6,43.4,84.0,63.7,"PB=5.06, 低估均值=3.83, 比值=1.32, 分位=49%",0.110109929717066,0.3139931740614334,,,,,,,,5.06028,3.8293842,1.321434396684459,0.4939422180801491,高质量趋势,估值有约束的高质量,84.0,高质量趋势,,61.6,45.42,60.3591912,45.42,-0.2626623376623376,-0.2475048274006692,2025-05-06,2026-05-18,93.463,True,42,focused
sz.300870,欧陆通,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,126.89,47.9,47.9,92.5,62.2,67.9,0.0,0.0,0.0,"Q1价值线=116.34, 现价/价值=1.09, akshare东方财富扣非净利润同比=273.0%, 市值=126.5亿",0.0405084050840507,0.1513474276381454,126.54102756142451,116.34369209628277,1.0906478702342488,2.57,2.57,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,82.5,财报后主线候选,2.7296862692068,126.89,421.0,125.91231255,421.0,2.317834344708015,2.343596757726296,2025-05-06,2026-05-18,93.374,True,43,focused
sh.603067,振华股份,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,22.26,0.0,0.0,85.5,100.0,60.0,37.4,82.5,59.9,"PB=3.46, 低估均值=1.95, 比值=1.77, 分位=83%",0.25267304445695,0.7694753577106519,,,,,,,,3.462386,1.9547725,1.771247549267242,0.833810888252149,高质量趋势,估值有约束的高质量,82.5,高质量趋势,,22.26,39.17,15.79598538,39.17,0.7596585804132974,1.479744001890182,2025-05-06,2026-05-18,93.25,True,44,focused
sz.000963,华东医药,F52零售业,医药医疗,PE,PE低估,38.67,75.0,56.4,84.3,83.2,71.2,77.8,81.5,79.6,"PE=19.03, 低估均值=19.63, 比值=0.97, 分位=23%",-0.0018069179143004,0.1045415595544132,,,,,,,,19.029887,19.62996127272727,0.9694306950283706,0.2314285714285714,低估且高质量,低估且高质量,79.6,低估且高质量,,38.67,30.11,37.85228418,30.11,-0.2213602275665891,-0.2045394181017691,2025-05-06,2026-05-18,93.044,True,45,focused
sz.300973,立高食品,C14食品制造业,消费,PE,PE低估,44.03,94.8,94.8,71.1,86.7,58.1,84.4,75.8,80.1,"PE=26.67, 低估均值=40.44, 比值=0.66, 分位=1%",0.0609638554216867,0.1255112474437629,,,,,,,,26.669985,40.4430492,0.659445455462839,0.0142711518858307,低估且高质量,低估且高质量,80.1,低估且高质量,,44.03,28.13,43.36941791,28.13,-0.3611174199409493,-0.3513862681215774,2025-05-06,2026-05-18,92.814,True,46,focused
sh.605599,菜百股份,F52零售业,F52零售业,PE,PE低估,14.48,75.0,54.9,76.6,100.0,45.3,74.9,80.0,77.5,"PE=14.70, 低估均值=15.37, 比值=0.96, 分位=27%",0.1957060280759703,0.3419833178869325,,,,,,,,14.698579,15.3671512,0.9564934195480552,0.2738636363636363,低估且高质量,低估且高质量,77.5,低估且高质量,,14.48,16.54,13.92515536,16.54,0.1422651933701657,0.1877784895320549,2025-05-06,2026-05-18,92.204,True,47,focused
